Question,Numbers,Equation,Answer,group_nums,Body,Ques,Type,Variation Type,id
A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats . How many cats do they have left ?,[41. 28. 15.],['-' '+' 'number0' 'number1' 'number2'],54.0,[ 3  4  5  7  8  9 16 17 18 24 25 26],A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats .,How many cats do they have left ?,,,848
Sam went to number0 football games this year . He went to number1 games last year . How many football games did Sam go to in all ?,[14. 29.],['+' 'number0' 'number1'],43.0,[ 2  3  4 11 12 13 26 27 28],Sam went to number0 football games this year . He went to number1 games last year .,How many football games did Sam go to in all ?,,,849
"A dust storm sweeps across the prairie . It covers number0 acres of the prairie in dust , but leaves number1 acres untouched . How many acres does the prairie cover ?",[64535.   522.],['+' 'number0' 'number1'],65057.0,[ 9 10 11 19 20 21 28 29 30],"A dust storm sweeps across the prairie . It covers number0 acres of the prairie in dust , but leaves number1 acres untouched .",How many acres does the prairie cover ?,,,850
"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each , how many tables do they need ?",[47.  7.  5.],['/' '-' 'number0' 'number1' 'number2'],8.0,[ 2  3  4  9 10 11 23 24 25 31 32 33],"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each ,",how many tables do they need ?,,,851
Craig has number0 apples . Judy has number1 apples . He shares number2 with Eugene . How many apples will Craig have ?,[20. 11.  7.],['-' 'number0' 'number2'],13.0,[ 1  2  3  6  7  8 11 12 13 19 20 21],Craig has number0 apples . Judy has number1 apples . He shares number2 with Eugene .,How many apples will Craig have ?,,,852
Jill invited number0 people to her birthday party . They each ate number1 pieces of pizza . How many pieces of pizza did they eat ?,[37.  8.],['*' 'number0' 'number1'],296.0,[ 1  2  3 11 12 13 22 23 24],Jill invited number0 people to her birthday party . They each ate number1 pieces of pizza .,How many pieces of pizza did they eat ?,,,853
"Each year , salmon travel upstream , going from the ocean to the rivers where they were born . This year , number0 male and number1 female salmon returned to their rivers . How many salmon made the trip ?",[712261. 259378.],['+' 'number0' 'number1'],971639.0,[21 22 23 24 25 26 36 37 38],"Each year , salmon travel upstream , going from the ocean to the rivers where they were born . This year , number0 male and number1 female salmon returned to their rivers .",How many salmon made the trip ?,,,854
"Bianca was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",[8. 5. 4.],['*' 'number0' '+' 'number1' 'number2'],72.0,[13 14 15 21 22 23 27 28 29 38 39 40],"Bianca was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?,,,855
"When Jake had number0 cat , he needed to serve number1 can of cat food each day . Now that Jake has adopted a second cat , he needs to serve a total of number2 can each day . How much extra food is needed to feed the second cat ?",[1.  0.5 0.9],['-' 'number2' 'number1'],0.4,[ 2  3  4  9 10 11 33 34 35 47 48 49],"When Jake had number0 cat , he needed to serve number1 can of cat food each day . Now that Jake has adopted a second cat , he needs to serve a total of number2 can each day .",How much extra food is needed to feed the second cat ?,,,856
There are number0 apples in a pile on the desk . Each apple comes in a package of number1 . number2 apples are added to the pile . How many apples are there in the pile ?,[ 8. 11.  5.],['+' 'number0' 'number2'],13.0,[ 1  2  3 17 18 19 19 20 21 33 34 35],There are number0 apples in a pile on the desk . Each apple comes in a package of number1 . number2 apples are added to the pile .,How many apples are there in the pile ?,,,857
There are number0 bicycles and number1 tricycles in the storage area at Danny 's apartment building . Each bicycle has number2 wheels and each tricycle has number3 wheels . How many wheels are there in all ?,[24. 14.  2.  3.],['+' '*' 'number0' 'number2' '*' 'number1' 'number3'],90.0,[ 1  2  3  4  5  6 19 20 21 25 26 27 33 34 35],There are number0 bicycles and number1 tricycles in the storage area at Danny 's apartment building . Each bicycle has number2 wheels and each tricycle has number3 wheels .,How many wheels are there in all ?,,,858
The school is planning a field trip . There are number0 students and number1 seats on each school bus . How many buses are needed to take the trip ?,[180.  60.],['/' 'number0' 'number1'],3.0,[ 9 10 11 12 13 14 26 27 28],The school is planning a field trip . There are number0 students and number1 seats on each school bus .,How many buses are needed to take the trip ?,,,859
"Rachel was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?",[10.  4. 26.],['-' '+' 'number0' 'number2' 'number1'],32.0,[ 7  8  9 19 20 21 25 26 27 37 38 39],"Rachel was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level ,",how many lives would she have ?,,,860
Heather has number0 oranges . Russell takes number1 away . How many oranges will Heather have ?,[60. 35.],['-' 'number0' 'number1'],25.0,[ 1  2  3  6  7  8 13 14 15],Heather has number0 oranges . Russell takes number1 away .,How many oranges will Heather have ?,,,861
"Vanessa had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files , how many files were still on her flash drive ?",[16. 48. 30.],['-' '+' 'number0' 'number1' 'number2'],34.0,[ 1  2  3  5  6  7 16 17 18 28 29 30],"Vanessa had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files ,",how many files were still on her flash drive ?,,,862
Keith grew number0 turnips . Alyssa grew number1 turnips . How many turnips did they grow in all ?,[6. 9.],['+' 'number0' 'number1'],15.0,[ 1  2  3  6  7  8 15 16 17],Keith grew number0 turnips . Alyssa grew number1 turnips .,How many turnips did they grow in all ?,,,863
"There are number0 students in the class and number1 pencils . If the pencils are divided equally among the students , how many does each student get ?",[ 2. 18.],['/' 'number1' 'number0'],9.0,[ 1  2  3  7  8  9 24 25 26],"There are number0 students in the class and number1 pencils . If the pencils are divided equally among the students ,",how many does each student get ?,,,864
"Zoe baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one , how much cups of flour does she still need ?",[ 5. 11.  7.],['*' 'number2' '-' 'number1' 'number0'],42.0,[ 1  2  3  6  7  8 15 16 17 30 31 32],"Zoe baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one ,",how much cups of flour does she still need ?,,,865
"Tom went to number0 hockey games this year , but missed number1 . He went to number2 games last year . How many hockey games did Tom go to in all ?",[4. 7. 9.],['+' 'number0' 'number2'],13.0,[ 2  3  4 10 11 12 15 16 17 28 29 30],"Tom went to number0 hockey games this year , but missed number1 . He went to number2 games last year .",How many hockey games did Tom go to in all ?,,,866
"Emily bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together , how many minutes did it take her to finish ?",[4. 2. 8.],['*' 'number2' '+' 'number0' 'number1'],48.0,[ 1  2  3  5  6  7 15 16 17 32 33 34],"Emily bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together ,",how many minutes did it take her to finish ?,,,867
Sam has number0 books . Joan has number1 books . How many books do they have together ?,[110. 102.],['+' 'number0' 'number1'],212.0,[ 1  2  3  6  7  8 14 15 16],Sam has number0 books . Joan has number1 books .,How many books do they have together ?,,,868
Sam found number0 seashells and Mary found number1 seashells on the beach . How many seashells did they find together ?,[18. 47.],['+' 'number0' 'number1'],65.0,[ 1  2  3  6  7  8 17 18 19],Sam found number0 seashells and Mary found number1 seashells on the beach .,How many seashells did they find together ?,,,869
Sam had number0 dimes in his bank . His dad gave him number1 dimes . How many dimes does Sam have now ?,[9. 7.],['+' 'number0' 'number1'],16.0,[ 1  2  3 11 12 13 19 20 21],Sam had number0 dimes in his bank . His dad gave him number1 dimes .,How many dimes does Sam have now ?,,,870
A number is number0 less than the sum of number1 and number2 . What is the number ?,[14. 30. 29.],['-' '+' 'number1' 'number2' 'number0'],45.0,[ 2  3  4  8  9 10 10 11 12 14 15 16],A number is number0 less than the sum of number1 and number2 .,What is the number ?,,,871
Sam went to number0 football games this year . He went to number1 games last year . How many football games did Sam go to in all ?,[14. 29.],['+' 'number0' 'number1'],43.0,[ 2  3  4 11 12 13 24 25 26],Sam went to number0 football games this year . He went to number1 games last year .,How many football games did Sam go to in all ?,,,872
Nancy bought number0 crayons that came in packs of number1 . How many packs of crayons did Nancy buy ?,[615.  15.],['/' 'number0' 'number1'],41.0,[ 1  2  3  8  9 10 18 19 20],Nancy bought number0 crayons that came in packs of number1 .,How many packs of crayons did Nancy buy ?,,,873
Scarlett made a fruit salad with number0 pound of melon and number1 pound of berries . How many pounds of fruit did Scarlett use in all ?,[0.25  0.375],['+' 'number0' 'number1'],0.625,[ 5  6  7 10 11 12 23 24 25],Scarlett made a fruit salad with number0 pound of melon and number1 pound of berries .,How many pounds of fruit did Scarlett use in all ?,,,874
"At Oliver 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars , how much was the bill ?",[2. 4. 3.],['*' 'number2' '+' 'number0' 'number1'],18.0,[ 6  7  8  9 10 11 20 21 22 26 27 28],"At Oliver 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars ,",how much was the bill ?,,,875
"A waiter had number0 customers to wait on . If number1 customers left and he got another number2 customers , how many customers would he have ?",[19. 14. 36.],['-' '+' 'number0' 'number2' 'number1'],41.0,[ 2  3  4  9 10 11 16 17 18 23 24 25],"A waiter had number0 customers to wait on . If number1 customers left and he got another number2 customers ,",how many customers would he have ?,,,876
